run,ebeam,target,hms_p,hms_th,shms_p,shms_th,run_type,x,Q2,z,thpq,BCM1_Q,BCM1_I,BCM2_Q,BCM2_I,BCM4A_Q,BCM4A_I,BCM4B_Q,BCM4B_I,BCM4C_Q,BCM4C_I,h_esing_Eff,h_hadron_Eff,p_esing_Eff,p_hadron_Eff,ps1,ps2,ps3,ps4,ps5,ps6,comp_livetime,electr_deadtime,coin,randoms,ransubcoin,normyield,normyield_err,ctmean,ctsigma,boil_corr,IHWP,coinblock_ratio,BCM2_Q_hp,BCM2_Q_hm,h_EL_CLEAN,p_EL_CLEAN
27144,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,49.546,27.863,49.35,27.753,43.59,24.513,268.165,150.807,67.892,38.18,0.9979,0.9967,0.9831,0.9741,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99991,0.0439,1257.0,427.692,829.308,17.3543,0.75157,51.2274,0.384805,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,1426144.0,494859523.0
27145,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,45.027,27.783,44.873,27.688,39.447,24.34,243.745,150.397,61.407,37.889,0.9982,0.9966,0.9838,0.9726,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99992,0.044,1187.0,391.231,795.769,18.3369,0.803897,51.3312,0.440456,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,1297163.0,449844349.0
27146,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,57.026,27.751,56.805,27.643,49.974,24.319,309.126,150.431,77.896,37.907,0.9978,0.997,0.9818,0.975,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99993,0.044,1455.0,500.846,954.154,17.3322,0.702008,51.2595,0.403022,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,1640264.0,569598985.0
27147,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,51.043,28.111,50.797,27.976,44.99,24.777,276.012,152.009,70.17,38.645,0.9982,0.9969,0.9828,0.9753,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99993,0.044,1284.0,447.385,836.615,16.9825,0.737059,51.2384,0.406447,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,1471142.0,509665560.0
27148,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,11.328,27.418,11.276,27.293,9.975,24.144,61.431,148.686,15.538,37.607,0.9983,0.9972,0.9821,0.9715,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99988,0.0437,304.0,101.923,202.077,18.5518,1.62119,51.2477,0.39729,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,326016.0,113134857.0
27149,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,31.6,28.008,31.463,27.887,27.698,24.549,171.041,151.597,43.111,38.211,0.9978,0.9962,0.9818,0.972,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99988,0.044,824.0,278.615,545.385,17.9414,0.956518,51.2519,0.434618,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,909332.0,315708398.0
27150,6.449,Dummy,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,72.902,40.782,72.639,40.635,63.804,35.692,268.016,149.931,99.362,55.584,0.9988,0.9972,0.9843,0.9781,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99996,0.0256,536.0,124.846,411.154,5.80885,0.330008,51.3129,0.385331,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,737410.0,294759042.0
27151,6.449,Dummy,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,71.191,41.481,70.959,41.346,62.229,36.26,260.826,151.978,96.951,56.491,0.9987,0.9972,0.9879,0.9749,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99998,0.0257,479.0,129.692,349.308,5.06888,0.320884,51.3196,0.395766,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,720317.0,287682162.0
27152,6.449,Dummy,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,60.845,41.348,60.587,41.173,53.442,36.317,222.774,151.389,83.393,56.671,0.9989,0.9974,0.9857,0.9781,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99998,0.0256,413.0,109.615,303.385,5.13833,0.34769,51.2576,0.345925,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,616009.0,245773212.0
27153,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,16.183,28.041,16.104,27.903,14.251,24.693,87.675,151.914,22.236,38.528,0.998,0.9969,0.984,0.9734,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99987,0.044,414.0,139.308,274.692,17.6272,1.32247,51.2236,0.411848,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,465798.0,161772795.0
27154,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,55.355,27.891,55.119,27.772,48.588,24.482,299.254,150.781,75.657,38.12,0.9981,0.9965,0.9814,0.9742,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99992,0.044,1398.0,480.615,917.385,17.1833,0.70954,51.4636,0.450317,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,1594744.0,553189361.0
27155,6.449,LH2,-1.165,31.278,-2.766,8.275,PI-SIDIS,0.22,2.2,0.5,2.0,45.419,27.946,45.238,27.834,39.725,24.442,245.697,151.173,61.867,38.066,0.9981,0.9968,0.9822,0.9724,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99992,0.0441,1169.0,393.692,775.308,17.7266,0.791794,51.5079,0.415237,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,1307933.0,453644776.0
27156,6.449,LH2,-1.165,31.278,4.978,8.275,PI+SIDIS,0.22,2.2,0.9,2.0,77.221,50.016,76.944,49.836,67.835,43.936,229.864,148.881,105.64,68.423,0.9997,0.999,0.9878,0.9827,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99995,0.0109,1920.0,110.154,1809.85,23.9698,0.581607,51.0597,0.428925,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,2206137.0,29648166.0
27157,6.449,LH2,-1.165,31.278,4.978,8.275,PI+SIDIS,0.22,2.2,0.9,2.0,22.714,51.665,22.629,51.472,20.008,45.511,66.739,151.804,31.211,70.991,0.9996,0.9986,0.9865,0.9835,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.011,588.0,33.0769,554.923,24.9773,1.0938,51.1108,0.418,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,647555.0,8700180.0
27158,6.449,LH2,-1.165,31.278,4.978,8.275,PI+SIDIS,0.22,2.2,0.9,2.0,71.05,50.339,70.794,50.158,62.674,44.405,210.883,149.411,97.619,69.164,0.9998,0.9988,0.9872,0.9834,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99994,0.0109,1740.0,102.846,1637.15,23.5466,0.60131,51.1163,0.43921,1.0,-999,-999,4.9999999999999994e+75,-4.9999999999999994e+75,2029611.0,27291485.0
27159,6.449,LH2,-1.165,31.278,4.978,8.275,HMSDIS,0.22,2.2,0.9,2.0,46581.342,50.77,46420.994,50.595,41082.946,44.777,137833.841,150.228,64003.582,69.759,0.9998,0.9986,-999,-999,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-999,98.9082,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999,-999,-999,1325310.0,17945325.0
27160,6.449,Dummy,-1.165,31.278,4.978,8.275,PI+SIDIS,0.22,2.2,0.9,2.0,83.631,41.291,83.246,41.101,73.334,36.208,306.531,151.345,114.268,56.418,1.0,0.9984,0.9828,0.9824,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.002,403.0,6.38462,396.615,4.8527,0.245771,51.1225,0.45388,1.0,-999,-999,40936.42182,40907.25618,839668.0,6575919.0
27161,6.449,Dummy,-1.165,31.278,4.978,8.275,HMSDIS,0.22,2.2,0.9,2.0,41727.12,41.67,41532.06,41.475,36554.818,36.505,152554.304,152.344,56958.869,56.881,0.9997,0.9987,-999,-999,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-999,99.8057,-999,-999,-999,-999,-999,-999,-999,1.0,-999,-999,-999,-999,419708.0,3282257.0
27162,6.449,LH2,-1.165,31.278,2.766,8.275,PI+SIDIS,0.22,2.2,0.5,2.0,13.663,19.783,13.605,19.701,11.941,17.291,76.495,110.766,18.603,26.937,0.9999,0.998,0.9784,0.9815,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.99992,0.0292,538.0,108.462,429.538,32.2602,1.75549,51.0904,0.434611,1.0,-999,-999,6663.78226,6659.12974,392363.0,15882335.0
